OMEGAWIKI	FGLOSS	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
1431444	betelnut	-	BETELNUT	Agriculture and vegetation	The seed of the areca palm (Areca catechu).	Noun	-
7898	birch	-	BIRCH	Agriculture and vegetation	A tree of the genus Betula, with small leaves and a trunk that is white with darker blotches.	Noun	8.63
6343	branch	-	BRANCH	Agriculture and vegetation	A woody part of a tree arising from the trunk and usually dividing.	Noun	8.55
6933	bush	-	BUSH	Agriculture and vegetation	A plant resembling a small tree, but has no, and will never develop, a stem.	Noun	-
395385	cassava	-	CASSAVA	Agriculture and vegetation	A starchy pulp made with the roots of the cassava plant.	Noun	8.92
1541228	chonta	-	CHONTA PALM	Agriculture and vegetation	species of flowering plant in the Arecaceae family, trunked palm tree which is endemic to the Juan Fernández Islands archipielago in the southeast Pacific Ocean west of Chile.	Noun	-
1541228	palm	-	CHONTA PALM	Agriculture and vegetation	species of flowering plant in the Arecaceae family, trunked palm tree which is endemic to the Juan Fernández Islands archipielago in the southeast Pacific Ocean west of Chile.	Noun	-
492550	citrus	-	CITRUS FRUIT	Agriculture and vegetation	The fruits of a plant in the citrus genus. They have a leathery rind surrounding segments filled with pulp vesicles.	Noun	8.83
492550	fruit	-	CITRUS FRUIT	Agriculture and vegetation	The fruits of a plant in the citrus genus. They have a leathery rind surrounding segments filled with pulp vesicles.	Noun	8.83
1292296	coca	-	COCA	Agriculture and vegetation	A plant in the family Erythroxylaceae, native to western South America.	Noun	-
419639	coconut	-	COCONUT	Agriculture and vegetation	The large hard-shelled oval nut with a fibrous husk of the cocos palm.	Noun	8.82
1311390	coconut	-	COCONUT TREE	Agriculture and vegetation	A tropical tree with feathery leaves which bears coconuts.	Noun	-
1311390	tree	-	COCONUT TREE	Agriculture and vegetation	A tropical tree with feathery leaves which bears coconuts.	Noun	-
1506163	cone	-	CONE	Agriculture and vegetation	The fruit of a pine or fir tree.	Noun	8996
1541269	corn	-	CORN FIELD	Agriculture and vegetation	a field in which corn is grown.	Noun	-
1541269	field	-	CORN FIELD	Agriculture and vegetation	a field in which corn is grown.	Noun	-
638225	cultivate	-	CULTIVATE	Agriculture and vegetation	To grow plants.	Verb	8.15
6024	dig	-	DIG	Agriculture and vegetation	To move earth, rocks, etc. out of the way, usually to create a hole.	Verb	8.22
1510840	digging	-	DIGGING STICK	Agriculture and vegetation	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.	Noun	8.28
1510840	stick	-	DIGGING STICK	Agriculture and vegetation	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.	Noun	8.28
960	ditch	-	DITCH	Agriculture and vegetation	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.	Noun	8.17
1410	farm	-	FARM	Agriculture and vegetation	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.	Noun	-
421671	farmer	-	FARMER	Agriculture and vegetation	A person who works the land or who keeps livestock, especially on a farm.	Noun	8.11
1543589	fell	-	FELL A TREE	Agriculture and vegetation	To knock somebody or cut something down, e.g. a tree.	Verb	-
1543589	a	-	FELL A TREE	Agriculture and vegetation	To knock somebody or cut something down, e.g. a tree.	Verb	-
1543589	tree	-	FELL A TREE	Agriculture and vegetation	To knock somebody or cut something down, e.g. a tree.	Verb	-
698534	fence	-	FENCE	Agriculture and vegetation	Delimitation for an area.	Noun	8.16
1425	field	-	FIELD	Agriculture and vegetation	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.	Noun	8.12
843491	fir	-	FIR	Agriculture and vegetation	An evergreen coniferous tree of the genus Abies.	Noun	8.65
1510877	fish	-	FISH POISON	Agriculture and vegetation	in Amazonia, a kind of root is apparently used as fish poison	Noun	8.96
1510877	poison	-	FISH POISON	Agriculture and vegetation	in Amazonia, a kind of root is apparently used as fish poison	Noun	8.96
1487	flower	-	FLOWER	Agriculture and vegetation	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	Noun	8.57
1526645	forked	-	FORKED BRANCH	Agriculture and vegetation	At this point a branch is forked into two or more branches.	Noun	8.74
1526645	branch	-	FORKED BRANCH	Agriculture and vegetation	At this point a branch is forked into two or more branches.	Noun	8.74
7346	furrow	-	FURROW	Agriculture and vegetation	The cut made in a field by a plough.	Noun	8212
1601	garden	-	GARDEN	Agriculture and vegetation	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.	Noun	8.13
1526657	gourd	-	GOURD	Agriculture and vegetation	It is a versatile plant belonging to multiple types of plants like pumpkins, cucumbers and melons. It is probably one of the earliest domesticated plants.	Noun	8.93
1674	grain	-	GRAIN	Agriculture and vegetation	Edible, starchy seeds of the grass family (Graminae) usable as food by man and his livestock.	Noun	8.42
1675	grass	-	GRASS	Agriculture and vegetation	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	Noun	8.51
161168	groundnuts	-	GROUNDNUTS	Agriculture and vegetation	A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground.	Noun	-
1722	harvest	1262193	HARVEST	Agriculture and vegetation	The amount or measure of the crop gathered in a season.	Noun	8.41
1510854	hay	-	HAY	Agriculture and vegetation	Grass or cut and dried for use as animal fodder.	Noun	8.52
1506109	hoe	-	HOE	Agriculture and vegetation	tool with handle and blade with two or more prongs used for weeding, raking, etc.	Noun	8.25
1296409	irrigated	-	IRRIGATED PADDY FIELD	Agriculture and vegetation	A flooded field where rice is grown.	Noun	-
1296409	paddy	-	IRRIGATED PADDY FIELD	Agriculture and vegetation	A flooded field where rice is grown.	Noun	-
1296409	field	-	IRRIGATED PADDY FIELD	Agriculture and vegetation	A flooded field where rice is grown.	Noun	-
1223914	larch	-	LARCH	Agriculture and vegetation	A coniferous  tree, of genus Larix, having deciduous leaves	Noun	8991
1510846	lasso	-	LASSO	Agriculture and vegetation	A long rope with a sliding loop on one end, generally used in ranching to catch cattle and horses.	Noun	8.29
2124	leaf	-	LEAF	Agriculture and vegetation	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.	Noun	8.56
422609	lime	-	LIME	Agriculture and vegetation	A green citrus fruit	Noun	-
1542685	mahogany	-	MAHOGANY TREE	Agriculture and vegetation	A species of trees in the mahogany family Meliaceae, native to tropical Africa and Madagascar.	Noun	-
1542685	tree	-	MAHOGANY TREE	Agriculture and vegetation	A species of trees in the mahogany family Meliaceae, native to tropical Africa and Madagascar.	Noun	-
157264	maize	-	MAIZE	Agriculture and vegetation	A type of grain of the species Zea mays.	Noun	8.47
1510912	mangrove	-	MANGROVE	Agriculture and vegetation	Any of various tropical evergreen trees or shrubs that grow in shallow coastal water; Plants of the Rhizophoraceae family and/or of the genus Rhizophora.	Noun	-
395809	manioc	-	MANIOC	Agriculture and vegetation	Shrub (Manihot esculenta) whose roots are rich in starch	Noun	8.92
1510514	manioc	-	MANIOC FLOUR	Agriculture and vegetation	Flour made of the cassava plant or root.	Noun	-
1510514	flour	-	MANIOC FLOUR	Agriculture and vegetation	Flour made of the cassava plant or root.	Noun	-
7679	marrow	-	MARROW	Agriculture and vegetation	Any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh.	Noun	-
157304	melon	-	MELON	Agriculture and vegetation	A fruit of any of the species from the family Cucurbitaceae that has relatively hard inedible shells and plenty of sweet flesh. The fruits may vary in size but is usually not smaller than one decimeter in diameter.	Noun	-
397763	millet	-	MILLET	Agriculture and vegetation	A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.	Noun	8911
1403529	mow	-	MOW	Agriculture and vegetation	To cut all [the grass, crop or any thin plants] of a surface area of the ground.	Verb	8.32
2444	mushroom	-	MUSHROOM	Agriculture and vegetation	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.	Noun	8.98
1506160	needle	-	NEEDLE TREE	Agriculture and vegetation	A needle of coniferous tree	Noun	8993
1506160	tree	-	NEEDLE TREE	Agriculture and vegetation	A needle of coniferous tree	Noun	8993
1072992	nettle	-	NETTLE	Agriculture and vegetation	The common name for between 30-45 species of flowering plants with a cosmopolitan though mainly temperate distribution. They are mostly herbaceous perennial plants, but some are annual and a few are shrubby.	Noun	8.97
2597	oak	-	OAK	Agriculture and vegetation	Any tree of the genus Quercus in the order Fagales, characterized by simple, usually lobed leaves, scaly winter buds, a star-shaped pith, and its fruit, the acorn, which is a nut; the wood is tough, hard, and durable, generally having a distinct pattern.	Noun	8.61
1111216	oats	-	OATS	Agriculture and vegetation	A species of grass (Avena sativa) grown for its seed.	Noun	8.46
704948	okra	-	OKRA	Agriculture and vegetation	-	Noun	-
1506100	paddy	-	PADDY	Agriculture and vegetation	Wet land in which rice is grown.	Noun	8121
528656	palm	-	PALM TREE	Agriculture and vegetation	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.	Noun	8.81
528656	tree	-	PALM TREE	Agriculture and vegetation	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.	Noun	8.81
1543627	pandanus	-	PANDANUS	Agriculture and vegetation	Palm-like, dioecious trees and shrubs native to the Old World tropics and subtropics.	Noun	-
706003	pine	-	PINE	Agriculture and vegetation	Evergreen coniferous tree of the genus Pinus.	Noun	8.64
489864	pipe	-	PIPE	Agriculture and vegetation	A device consisting of a mouthpiece, a long pipe stem and a pipe bowl, that is used to smoke tobacco.	Noun	8691
1510832	pitchfork	-	PITCHFORK	Agriculture and vegetation	An agricultural tool comprising a fork attached to a long handle used for pitching hay or bales of hay high up onto a haystack.	Noun	8.26
619975	plant	-	PLANT, GROW	Agriculture and vegetation	To put a plant in the ground so that it strikes root and grows.	Verb	8531
619975	grow	-	PLANT, GROW	Agriculture and vegetation	To put a plant in the ground so that it strikes root and grows.	Verb	8531
2836	plant	1471369	PLANT, VEGETATION	Agriculture and vegetation	Any living organism that synthesizes its food from inorganic substances, possesses cellulose cell walls, responds slowly and often permanently to a stimulus, lacks specialized sense organs and nervous system, and has no powers of locomotion.	Noun	8.53
2836	vegetation	1471369	PLANT, VEGETATION	Agriculture and vegetation	Any living organism that synthesizes its food from inorganic substances, possesses cellulose cell walls, responds slowly and often permanently to a stimulus, lacks specialized sense organs and nervous system, and has no powers of locomotion.	Noun	8.53
1511168	plantain	-	PLANTAIN	Agriculture and vegetation	A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.	Noun	-
845139	plough	-	PLOUGH	Agriculture and vegetation	To use a plough on to prepare for planting.	Verb	8.21
366683	pumpkin	-	PUMPKIN	Agriculture and vegetation	A squash fruit of the Cucurbita genus, most commonly orange in colour when ripe and traditionally used during Halloween.	Noun	8931
1510836	rake	-	RAKE	Agriculture and vegetation	A garden tool with a row of pointed teeth fixed to a long handle, used for collecting grass or debris, or for loosening soil.	Noun	8.27
395506	rice	538459;3236	RICE	Agriculture and vegetation	Seeds of the rice plant (Oryza sativa) used as food.	Noun	8.48
3269	root	-	ROOT	Agriculture and vegetation	The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.	Noun	8.54
1054188	rye	-	RYE	Agriculture and vegetation	Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.	Noun	8.45
1510865	sap	-	SAP	Agriculture and vegetation	The juice of plants of any kind, especially the ascending and descending juices or circulating fluid essential to nutrition.	Noun	8.76
1050369	scythe	-	SCYTHE	Agriculture and vegetation	A farm tool consisting of a long bent blade attached to a shaft, that is designed for cutting straws of grass or grain from an upright position.	Noun	8.33
3361	seed	-	SEED	Agriculture and vegetation	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).	Noun	8311
1542675	shea	-	SHEA NUT TREE	Agriculture and vegetation	Tree of the Sapotaceae family,indigenous to Africa, commonly known as shea tree. The shea fruits are oil-rich seed from which shea butter is extracted.	Noun	-
1542675	nut	-	SHEA NUT TREE	Agriculture and vegetation	Tree of the Sapotaceae family,indigenous to Africa, commonly known as shea tree. The shea fruits are oil-rich seed from which shea butter is extracted.	Noun	-
1542675	tree	-	SHEA NUT TREE	Agriculture and vegetation	Tree of the Sapotaceae family,indigenous to Africa, commonly known as shea tree. The shea fruits are oil-rich seed from which shea butter is extracted.	Noun	-
8359	shovel	-	SHOVEL	Agriculture and vegetation	A tool consisting of a stick (usually out of wood) and a bigger, slightly humped surface (usually out of metal), which is used to move material such as earth, snow, grain, etc. from one place to another.	Noun	8.24
3414	shrub	-	SHRUB	Agriculture and vegetation	A woody perennial plant, smaller than a tree, with several major branches arising from near the base of the main stem.	Noun	-
1510850	sickle	-	SICKLE	Agriculture and vegetation	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture	Noun	8.33
6968	smoke	-	SMOKE, INHALE	Agriculture and vegetation	To inhale smoke from for example a cigarette or a cigar.	Verb	8.69
6968	inhale	-	SMOKE, INHALE	Agriculture and vegetation	To inhale smoke from for example a cigarette or a cigar.	Verb	8.69
1510873	sorghum	-	SORGHUM	Agriculture and vegetation	A cereal, Sorghum vulgare or Sorghum bicolor, the grains of which are used to make flour and as cattle feed.	Noun	8911
341201	sow	-	SOW SEEDS	Agriculture and vegetation	To scatter, disperse, or plant seeds.	Verb	8.31
341201	seeds	-	SOW SEEDS	Agriculture and vegetation	To scatter, disperse, or plant seeds.	Verb	8.31
525509	spade	-	SPADE	Agriculture and vegetation	Tool having a flat and sharp metal tip and a wooden handle used to break, dig and move the earth.	Noun	8.23
438953	stump	-	STUMP OF TREE	Agriculture and vegetation	The short piece left over after cutting off the most part.	Noun	-
438953	of	-	STUMP OF TREE	Agriculture and vegetation	The short piece left over after cutting off the most part.	Noun	-
438953	tree	-	STUMP OF TREE	Agriculture and vegetation	The short piece left over after cutting off the most part.	Noun	-
1310853	sugar	-	SUGAR CANE	Agriculture and vegetation	A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.	Noun	8941
1310853	cane	-	SUGAR CANE	Agriculture and vegetation	A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.	Noun	8941
894122	sunflower	-	SUNFLOWER	Agriculture and vegetation	Annual plant with a large yellow flowering head of the genus Helianthus and the family of the Asteraceae.	Noun	-
1336889	sweet	-	SWEET POTATO	Agriculture and vegetation	A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.	Noun	8.91
1336889	potato	-	SWEET POTATO	Agriculture and vegetation	A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.	Noun	8.91
1541112	swidden	-	SWIDDEN FIELD	Agriculture and vegetation	a piece of land cleared for farming by burning away vegetation.	Noun	-
1541112	field	-	SWIDDEN FIELD	Agriculture and vegetation	a piece of land cleared for farming by burning away vegetation.	Noun	-
1073190	tamarind	-	TAMARIND	Agriculture and vegetation	A tropical tree, native to Africa, including Sudan and parts of the Madagascar dry deciduous forests.	Noun	-
1510923	taro	-	TARO	Agriculture and vegetation	Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.	Noun	-
1243793	thorn	-	THORN	Agriculture and vegetation	A sharp and hard structure that grows on a plant.	Noun	-
1506115	thresh	-	THRESH	Agriculture and vegetation	Separating the grain from the straw or husks by beating.	Verb	8.34
1451560	threshingfloor	-	THRESHING-FLOOR	Agriculture and vegetation	Dry flat area where the grain is separated from the straw or husks by beating.	Noun	8.35
420209	tobacco	3785	TOBACCO	Agriculture and vegetation	Leaves of certain varieties of the tobacco plant, cultivated and harvested to make cigarettes, cigars, snuff, for smoking in pipes or for chewing.	Noun	8.68
3854	tree	-	TREE	Agriculture and vegetation	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.	Noun	8.6
1490199	tree	-	TREE STUMP	Agriculture and vegetation	A small remaining portion of the trunk of a tree with the roots still in the ground.	Noun	8.72
1490199	stump	-	TREE STUMP	Agriculture and vegetation	A small remaining portion of the trunk of a tree with the roots still in the ground.	Noun	8.72
1510861	tree	-	TREE TRUNK	Agriculture and vegetation	The main structural member of a tree.	Noun	8.73
1510861	trunk	-	TREE TRUNK	Agriculture and vegetation	The main structural member of a tree.	Noun	8.73
344683	trunk	-	TRUNK OF TREE	Agriculture and vegetation	The part of the body from the neck to the groin excluding the head and limbs.	Noun	-
344683	of	-	TRUNK OF TREE	Agriculture and vegetation	The part of the body from the neck to the groin excluding the head and limbs.	Noun	-
344683	tree	-	TRUNK OF TREE	Agriculture and vegetation	The part of the body from the neck to the groin excluding the head and limbs.	Noun	-
1510857	vine	-	VINE	Agriculture and vegetation	the climbing plant (genus: Vitis) that produces grapes	Noun	8.67
466721	wheat	-	WHEAT	Agriculture and vegetation	Plant belonging to genus Triticum and to family Poaceae (also known as Gramineae).	Noun	8.43
1526651	yam	-	YAM	Agriculture and vegetation	It is the common name for a versatile vegetable which is mainly grown in West Africa, Asia and Latin America.	Noun	8912
1510408	agouti	-	AGOUTI	Animals	A rodent similar in appearance to a guinea pig but having longer legs.	Noun	-
648694	alligator	-	ALLIGATOR	Animals	(Alligatoridae) A reptile belonging to the order Crocodilia.	Noun	3.97
379150	anaconda	-	ANACONDA, WATER BOA	Animals	Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.	Noun	-
379150	water	-	ANACONDA, WATER BOA	Animals	Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.	Noun	-
379150	boa	-	ANACONDA, WATER BOA	Animals	Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.	Noun	-
194	animal	-	ANIMAL	Animals	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	Noun	3.11
160271	ant	-	ANT	Animals	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	Noun	3817
1385114	anteater	-	ANTEATER	Animals	A mammal of the suborder Vermilingua having elongated snouts and feeding on ants and termites.	Noun	3.89
808465	anthill	-	ANTHILL	Animals	A mound of earth made by ants as they dig their nest.	Noun	-
817621	armadillo	-	ARMADILLO	Animals	(family Dasypodidae) Burrowing chiefly nocturnal mammal with body covered with strong horny plates.	Noun	-
541654	baboon	-	BABOON	Animals	Large ground based monkey having doglike muzzles.	Noun	-
7344	bat	-	BAT	Animals	A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.	Noun	3591
7552	bear	-	BEAR	Animals	A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.	Noun	3.73
540414	beaver	-	BEAVER	Animals	A mammal of the genus Castor, having a wide, flat tail and webbed feet.	Noun	3873
880112	bedbug	-	BEDBUG	Animals	A small blood-sucking insect that lives in houses, especially beds.	Noun	-
325	bee	-	BEE	Animals	Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.	Noun	3.82
1161759	beehive	763206	BEEHIVE	Animals	A structure that provides a natural habitation for bees; as in a hollow tree.	Noun	3822
851017	beeswax	-	BEESWAX	Animals	a yellowish or dark brown wax secreted by honeybees for constructing honeycombs.	Noun	3821
400	bird	-	BIRD	Animals	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.	Noun	3581
5868	boar	-	BOAR	Animals	An adult male pig.	Noun	3.32
1510400	body	-	BODY LOUSE	Animals	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Noun	3.8112
1510400	louse	-	BODY LOUSE	Animals	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Noun	3.8112
398978	buffalo	-	BUFFALO	Animals	A wild heavy bison of the species Bison bison, having a broad massive horned head.	Noun	3917
441	bug	-	BUG	Animals	Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak. (Source: CED)	Noun	-
432142	bull	-	BULL	Animals	Male bovine animal.	Noun	3.21
7316	butterfly	-	BUTTERFLY	Animals	A lepidopteran that is active at day	Noun	3.92
8038	buzzard	-	BUZZARD	Animals	Diurnal bird of prey belonging to the Accipitridae family.	Noun	-
941919	calf	-	CALF	Animals	Young cattle.	Noun	3.24
8069	camel	-	CAMEL	Animals	A beast of burden, much used in desert areas, of the genus Camelus.	Noun	3.78
1510424	capybara	-	CAPYBARA	Animals	The largest living rodent native to South America, living partly on land and partly in water.	Noun	-
1543612	cassowary	-	CASSOWARY	Animals	A big flightless bird native to tropical forests of New Guinea, nearby islands and northeastern Australia.	Noun	-
5446	cat	-	CAT	Animals	A common four-legged animal (Felis silvestris) that is often kept as a household pet.	Noun	3.62
511	cattle	-	CATTLE	Animals	Domesticated bovine animals, including cows, steers and bulls, raised and bred on a ranch or farm.	Noun	3.2
1541218	cebus	-	CEBUS MONKEY	Animals	a Central and South American monkey, Cebus capucinus,  having a prehensile tail and hair on the head resembling a cowl.	Noun	-
1541218	monkey	-	CEBUS MONKEY	Animals	a Central and South American monkey, Cebus capucinus,  having a prehensile tail and hair on the head resembling a cowl.	Noun	-
915513	centipede	-	CENTIPEDE	Animals	Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.	Noun	3814
640095	chameleon	-	CHAMELEON	Animals	(Chamaeleonidae) A squamate that belong to one of the best-known lizard families.	Noun	3913
5778	chicken	-	CHICKEN	Animals	A type of domesticated bird from the order of Galliformes which is often raised as a type of poultry (Gallus gallus domesticus).	Noun	3.55
1541208	chiggoe	-	CHIGGOE, JIGGER FLEA	Animals	a flea, Tunga penetrans,  of tropical America and Africa, the impregnated female of which embeds itself in the skin, especially of the feet, of humans and animals and becomes greatly distended with eggs.	Noun	-
1541208	jigger	-	CHIGGOE, JIGGER FLEA	Animals	a flea, Tunga penetrans,  of tropical America and Africa, the impregnated female of which embeds itself in the skin, especially of the feet, of humans and animals and becomes greatly distended with eggs.	Noun	-
1541208	flea	-	CHIGGOE, JIGGER FLEA	Animals	a flea, Tunga penetrans,  of tropical America and Africa, the impregnated female of which embeds itself in the skin, especially of the feet, of humans and animals and becomes greatly distended with eggs.	Noun	-
646	cockroach	-	COCKROACH	Animals	The most primitive of the living winged insects.	Noun	3816
1541194	collared	-	COLLARED PECCARY	Animals	piglike hoofed mammal of the genus Tayassu,  of North and South America,  having a dark gray coat with a white collar.	Noun	-
1541194	peccary	-	COLLARED PECCARY	Animals	piglike hoofed mammal of the genus Tayassu,  of North and South America,  having a dark gray coat with a white collar.	Noun	-
763	coral	-	CORAL	Animals	The skeleton of certain solitary and colonial anthozoan coelenterates; composed chiefly of calcium carbonate.	Noun	-
358081	cormorant	-	CORMORANT	Animals	Medium sized, black water bird from the family of the cormorants (Phalacrocoracidae), scientific name: Phalacrocorax carbo	Noun	3597
432006	cow	342006	COW	Animals	Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.	Noun	3.23
388687	coyote	-	COYOTE	Animals	(Canis latrans) A member of the Canidae family native to North America.	Noun	3862
1543617	crayfish	-	CRAYFISH	Animals	A freshwater crustacean resembling small lobster.	Noun	-
791	crocodile	-	CROCODILE	Animals	Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates. (Source: CED)	Noun	3.97
388727	crow	-	CROW	Animals	A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.	Noun	3593
1510442	curassow	-	CURASSOW	Animals	A bird, the crested curassow or royal pheasant.	Noun	-
858	deer	-	DEER	Animals	The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.	Noun	3.75
966	dog	-	DOG	Animals	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.	Noun	3.61
616807	dolphin	-	DOLPHIN	Animals	A carnivorous aquatic mammal inhabiting mostly in the shallower seas of the continental shelves.	Noun	3662
8030	donkey	-	DONKEY	Animals	A domesticated animal, Equus asinus.	Noun	3.46
7890	dove	-	DOVE	Animals	One of several birds of the family Columbidae.	Noun	3594
5886	duck	-	DUCK	Animals	An aquatic bird of the family Anatidae, having a flat bill and webbed feet.	Noun	3.57
808314	duiker	-	DUIKER	Animals	Any of several ruminants of the family Bovidae, chiefly of Africa and Asia, having permanent, hollow, unbranched horns.	Noun	-
838154	eagle	-	EAGLE	Animals	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.	Noun	3584
5643	elephant	-	ELEPHANT	Animals	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.	Noun	3.77
718134	elk	-	ELK	Animals	The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.	Noun	3872
5856	ewe	-	EWE	Animals	A female sheep.	Noun	3.28
6393	female	6392	FEMALE	Animals	Of, relating to, or denoting the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective	2.24;3.13
1425624	fin	-	FIN	Animals	An appendage of a fish used for swimming.	Noun	3652
1415152	firefly	-	FIREFLY	Animals	A nocturnal, bioluminescent beetle of the family Lampyridae.	Noun	3.91
1460	fish	-	FISH	Animals	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).	Noun	3.65
1476	flea	-	FLEA	Animals	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH)	Noun	3813
