OMEGAWIKI	WOLD	GLOSS	SEMANTICFIELD	DEFINITION	POS
848903	8.94	BAMBOO	Agriculture and vegetation	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	Noun
369665	8.84	BANANA	Agriculture and vegetation	The fruit of the banana tree.	Noun
5632	23.44	BANK	Modern world	A financial institution where one can borrow money (upon which interest is due) or deposit money (in order to collect interest).	Noun
1510869	8.85	BANYAN	Agriculture and vegetation	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.	Noun
5439	8.75	BARK	Agriculture and vegetation	The exterior covering of the trunk and branches of a tree.	Noun
398106	8.44	BARLEY	Agriculture and vegetation	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.	Noun
1511024	11.83	BARTER	Possession	To exchange goods without involving money.	Verb
6368	9.76	BASKET	Basic actions and technology	A lightweight container, generally round, open at the top, and tapering toward the bottom.	Noun
7344	3.591	BAT	Animals	A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.	Noun
1295154	4.69	BATHE	The body	To clean oneself by immersion in water.	Verb
318	23.175	BATTERY	Modern world	A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity.	Noun
158617	20.13	BATTLE	Warfare and hunting	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	Noun
1511102	20.222	BATTLE-AXE	Warfare and hunting	An ancient military weapon.	Noun
320	1.34	BAY	The physical world	An open, curving indentation made by the sea or a lake into a coastline.	Noun
6480	24.01	BE	Miscellaneous function words	To have existence.	Verb
6028	4.74	BE ALIVE	The body	To be alive; to have a life.	Verb
474983	4.72	BE BORN	The body	To start living.	Verb
8037	5.14	BE HUNGRY	Food and drink	A need of food.	Verb
1539800	14.24	BE LATE	Time	to be late	Verb
1103280	18.23	BE SILENT	Speech and language	To stop speaking or making noise.	Verb
359542	5.15	BE THIRSTY	Food and drink	A physiological need to drink.	Verb
799152	6.76	BEAD	Clothing and grooming	A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.	Noun
1142217	4.241	BEAK	The body	External anatomical structure of birds which is used for taking food and for eating.	Noun
498099	7.55	BEAM	The house	A structural member loaded on its narrow face, and typically used in a horizontal or sloping position to span between bearing points.	Noun
355931	5.66	BEAN	Food and drink	Any of various leguminous plants grown for their edible seeds and pods.	Noun
7552	3.73	BEAR	Animals	A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.	Noun
333455	4.142	BEARD	The body	Facial hair of humans on the chin, cheeks and jaw.	Noun
6855	9.21	BEAT	Basic actions and technology	To strike or pound repeatedly, usually in some sort of rhythm.	Verb
6037	16.81	BEAUTIFUL	Emotions and values	Having nice or positive properties (specifically with regard to the senses, and most commonly, that of sight).	Adjective
540414	3.873	BEAVER	Animals	A mammal of the genus Castor, having a wide, flat tail and webbed feet.	Noun
514093	17.52	BECAUSE	Cognition	conjunction initiating a causal phrase.	Function word
949323	24.02	BECOME	Miscellaneous function words	To begin to be; to come to be; to turn into.	Verb
6851	7.42	BED	The house	A piece of furniture, made for a person to sleep on.	Noun
325	3.82	BEE	Animals	Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.	Noun
880926	8.62	BEECH	Agriculture and vegetation	Any tree of the genus Fagus, of temperate regions, having a smooth gray bark and bearing small, edible, triangular nuts.	Noun
1161759	3.822	BEEHIVE	Animals	A structure that provides a natural habitation for bees; as in a hollow tree.	Noun
6715	5.93	BEER	Food and drink	An alcoholic beverage commonly fermented from barley malt, with hops or some other substance to impart a bitter flavor.	Noun
851017	3.821	BEESWAX	Animals	a yellowish or dark brown wax secreted by honeybees for constructing honeycombs.	Noun
8159	12.04	BEFORE	Spatial relations	At a time before that.	Function word
510379	4.71	BEGET	The body	(especially of a male parent) to procreate or generate.	Verb
853288	11.53	BEGGAR	Possession	A person who begs.	Noun
7451	14.25	BEGIN	Time	To begin an activity.	Verb
6405	14.251	BEGINNING	Time	The beginning of an activity or event.	Noun
6945	12.011	BEHIND	Spatial relations	At the back of.	Function word
8203	17.15	BELIEVE	Cognition	To be confident about something.	Verb
5516	4.431	BELLY	The body	The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.	Noun
6199	12.07	BELOW,UNDER	Spatial relations	Lower in spatial position than.	Function word
344311	6.57	BELT	Clothing and grooming	A clothing accessory, usually made of leather or heavy cloth, worn around the waist and used to support trousers or other articles of clothing.	Noun
961409	9.14	BEND	Basic actions and technology	Movement that causes the formation of a curve.	Verb
752575	12.02	BESIDE	Spatial relations	Having the position next to a given place, location or object	Function word
837839	17.441	BETRAY	Cognition	To cause someone to believe an untruth; to practice trickery or fraud.	Verb
341	23.13	BICYCLE	Modern world	A vehicle with two wheels in tandem, pedals connected to the rear wheel by a chain, handlebars for steering, and a saddlelike seat.	Noun
5437	12.55	BIG	Spatial relations	Of a great size; the weakest sense of great size.	Adjective
468867	11.66	BILL	Possession	Sum owed in a restaurant, or the relative bill.	Noun
7898	8.63	BIRCH	Agriculture and vegetation	A tree of the genus Betula, with small leaves and a trunk that is white with darker blotches.	Noun
400	3.581	BIRD	Animals	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.	Noun
1511158	23.36	BIRTH CERTIFICATE	Modern world	official document certifying the details of a person's birth. Name, date, and parents' names are always included; details such as parents' occupation and religion may be included.	Noun
5993	4.58	BITE	The body	To cut off a piece by clamping the teeth.	Verb
375671	15.37	BITTER	Sense perception	Having an acrid taste.	Adjective
1341728	15.65	BLACK	Sense perception	Dark and colourless; not reflecting visible light.	Adjective
430574	9.6	BLACKSMITH	Basic actions and technology	A craftsman expert in iron and other metals work.	Noun
1511068	16.78	BLAME	Emotions and values	Culpability for something negative or undesirable.	Noun
348520	7.422	BLANKET	The house	A large cloth used for warmth and for sleeping.	Noun
1511134	22.23	BLESS	Religion and belief	To make something blessed; to confer blessing upon.	Verb
6807	4.97	BLIND	The body	Unable to see.	Adjective
6813	4.215	BLINK	The body	To make a quick wink of one or both eyelids, often repeatedly.	Verb
6518	4.855	BLISTER	The body	A small bubble on the skin, that contains watery fluid and is caused by heat, pressure or infection.	Noun
411	4.15	BLOOD	The body	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	Noun
1375415	10.38	BLOW	Motion	(Of the wind or a current of air) To move.	Verb
357132	15.67	BLUE	Sense perception	Having the pure color of a clear sky; the primary color between green and violet in the visible spectrum, an effect of light with a wavelength between 450 and 500 nm.	Adjective
1511061	15.79	BLUNT	Sense perception	Having a thick edge or point, as an instrument; not sharp.	Adjective
5868	3.32	BOAR	Animals	An adult male pig.	Noun
5479	7.57	BOARD	The house	A piece of wood or similar material that has been sawn into a regular shape, usually in preparation for using it in some sort of construction.	Noun
1176597	18.45	BOAST	Speech and language	To show off.	Verb
7774	10.83	BOAT	Motion	A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.	Noun
6179	4.11	BODY	The body	The physical structure of a human or animal.	Noun
1399403	4.144	BODY HAIR	The body	The terminal hair that develops on the human body during and after puberty.	Noun
1510400	3.8112	BODY LOUSE	Animals	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Noun
347033	5.22	BOIL	Food and drink	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb
347037	4.856	BOIL	The body	A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.	Noun
963421	1.57	BOLT OF LIGHTNING	The physical world	A sudden, short, temporary burst of light.	Noun
7437	23.575	BOMB	Modern world	A device filled with explosives used for destroying things.	Noun
5983	4.16	BONE	The body	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.	Noun
417	18.61	BOOK	Speech and language	A collection of leaves of paper, parchment or other material, usually bound or fastened together within covers, containing writing of any type or blank pages for future inscription.	Noun
1285089	9.87	BOOMERANG	Basic actions and technology	A tool with a curved shape used as a weapon or for sport which returns when thrown into the air.	Noun
159566	6.52	BOOT	Clothing and grooming	A shoe that covers part of the leg.	Noun
437280	20.48	BOOTY	Warfare and hunting	Profits from burglary, looting and raids.	Noun
625688	9.46	BORE	Basic actions and technology	To create a hole by removing material with a drill.	Verb
7569	11.62	BORROW	Possession	To receive (something) from somebody temporarily, expecting to return it.	Verb
5783	23.56	BOTTLE	Modern world	A container, typically made of glass and having a tapered neck, used for holding liquids.	Noun
334481	12.34	BOTTOM	Spatial relations	The part furthest in the direction toward which an unsupported object would fall.	Noun
432931	19.17	BOUNDARY	Social and political relations	The dividing line or location between two areas.	Noun
427040	20.24	BOW	Warfare and hunting	A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.	Noun
6341	5.33	BOWL	Food and drink	A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.	Noun
5905	2.25	BOY	Kinship	A young male person, usually a child or teenager.	Noun
710484	6.74	BRACELET	Clothing and grooming	Piece of jewellery worn around the wrist.	Noun
1132622	15.39	BRACKISH	Sense perception	(Of water) Salty or slightly salty, as a mixture of fresh and sea water.	Adjective
447700	6.921	BRAID	Clothing and grooming	a hair style formed by interweaving three or more strands of hair.	Noun
6504	4.203	BRAIN	The body	The organ of the central nervous system of an animal located in the skull that controls the actions and thoughts of the animal.	Noun
418778	23.18	BRAKE	Modern world	Decelerate using a mechanical device.	Verb
6343	8.55	BRANCH	Agriculture and vegetation	A woody part of a tree arising from the trunk and usually dividing.	Noun
1016033	16.52	BRAVE	Emotions and values	Having or characterized by courage.	Adjective
5910	5.51	BREAD	Food and drink	A common food made mainly from flour, water and yeast and produced by kneading and baking a dough.	Noun
333586	9.26	BREAK	Basic actions and technology	To end up in two or more pieces, which can't easily be reassembled.	Verb
5787	5.42	BREAKFAST	Food and drink	The first meal of the day, usually eaten in the morning.	Noun
5992	4.41	BREAST	The body	The fleshy organ on the chest of a sexually mature human female containing mammary glands.	Noun
5998	4.51	BREATHE	The body	To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.	Verb
432	7.62	BRICK	The house	A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.	Noun
433	10.74	BRIDGE	Motion	A structure that spans and provides a passage over a road, railway, river, or some other obstacle.	Noun
333539	15.57	BRIGHT	Sense perception	Visually dazzling.	Adjective
334503	10.62	BRING	Motion	To transport toward somewhere; to take something or somebody with oneself somewhere.	Verb
160300	9.261	BROKEN	Basic actions and technology	Not capable of working.	Adjective
1501242	9.38	BROOM	Basic actions and technology	A tool used to sweep and clean the floor, made of a bundle of straws or twigs attached to a long handle.	Noun
5541	2.44	BROTHER	Kinship	A male person who has the same parents as another person.	Noun
509506	4.852	BRUISE	The body	A collection of blood in the body tissue outside the blood vessels	Noun
7562	6.92	BRUSH	Clothing and grooming	An implement with a handle, and a head with multiple more or less flexible bristles, used for arranging hair.	Noun
398978	3.917	BUFFALO	Animals	A wild heavy bison of the species Bison bison, having a broad massive horned head.	Noun
7714	9.44	BUILD	Basic actions and technology	To form by combining materials or parts.	Verb
432142	3.21	BULL	Animals	Male bovine animal.	Noun
908269	5.712	BUNCH	Food and drink	A group of things fastened or growing together.	Noun
6039	1.852	BURN	The physical world	To be consumed by fire.	Verb
844863	1.851	BURN	The physical world	To undergo combustion.	Verb
702018	4.78	BURY	The body	to put in the ground and cover with earth.	Verb
461	23.15	BUS	Modern world	A large, long-bodied motor vehicle equipped with seating for passengers, usually operating as part of a scheduled service.	Noun
5505	5.89	BUTTER	Food and drink	A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk).	Noun
7316	3.92	BUTTERFLY	Animals	A lepidopteran that is active at day	Noun
356264	4.464	BUTTOCKS	The body	The fleshy part of the human body that one sits on.	Noun
342095	6.62	BUTTON	Clothing and grooming	A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.	Noun
8061	11.81	BUY	Possession	To obtain in exchange for money or goods.	Verb
909821	23.61	CALENDAR	Modern world	A table showing the months and days of the year.	Noun
941919	3.24	CALF	Animals	Young cattle.	Noun
156660	4.352	CALF OF THE LEG	The body	The fleshy backside of the lower part of the leg.	Noun
1378786	18.42	CALL	Speech and language	To give a name or designation of a common noun that, e.g., reflects a quality.	Verb
470997	18.41	CALL	Speech and language	To order or summon by using one's voice.	Verb
1505685	1.322	CALM	The physical world	Smooth or having only gentle waves.	Adjective
8069	3.78	CAMEL	Animals	A beast of burden, much used in desert areas, of the genus Camelus.	Noun
480116	7.65	CAMP	The house	Tents, cabins, etc., used as temporary lodgings by a group of travellers, holiday-makers, Scouts, Gypsies, etc.	Noun
452618	23.54	CAN	Modern world	A small, round-shaped metal container, used for different purposes like storing food or liquids, or collecting money.	Noun
5592	7.46	CANDLE	The house	A light source consisting of a wick embedded in a solid, flammable substance such as wax, tallow, or paraffin.	Noun
371969	23.565	CANDY	Modern world	Food item that is rich in sugar.	Noun
911657	10.831	CANOE	Motion	A light narrow boat driven by a paddle.	Noun
5641	6.55	CAP	Clothing and grooming	A usually soft and close-fitting head covering, either having no brim or with a visor.	Noun
684108	1.343	CAPE	The physical world	A piece of land extending into water.	Noun
461214	20.47	CAPTIVE	Warfare and hunting	A person held against his will.	Noun
482	23.14	CAR	Modern world	A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine.	Noun
7171	4.771	CARCASS	The body	The body of a dead animal, on which other animals have begun to feed.	Noun
447386	9.43	CARPENTER	Basic actions and technology	Artisan who works with wood.	Noun
335263	10.61	CARRY	Motion	To lift and bring to somewhere else; to transport by lifting.	Verb
1527192	10.612	CARRY IN HAND	Motion	To hold or to take something from one place to another by hands.	Verb
1527200	10.614	CARRY ON HEAD	Motion	To hold or to take something from one place to another on top of the head.	Verb
1527196	10.613	CARRY ON SHOULDER	Motion	To hold or to take something from one place to another on one shoulder.	Verb
1527204	10.615	CARRY UNDER THE ARM	Motion	To hold or to take something from one place to another under the arm.	Verb
1240424	10.75	CART	Motion	a two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.	Noun
1462598	9.81	CARVE	Basic actions and technology	To cut or to chip in order to form something.	Verb
395385	8.92	CASSAVA	Agriculture and vegetation	A starchy pulp made with the roots of the cassava plant.	Noun
1421991	9.63	CAST	Basic actions and technology	To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.	Verb
5446	3.62	CAT	Animals	A common four-legged animal (Felis silvestris) that is often kept as a household pet.	Noun
335306	10.252	CATCH	Motion	To take hold of, especially in the hands, so as to seize or restrain or stop the motion of.	Verb
511	3.2	CATTLE	Animals	Domesticated bovine animals, including cows, steers and bulls, raised and bred on a ranch or farm.	Noun
364159	17.42	CAUSE	Cognition	That which brings about any condition or produces any effect.	Noun
513	1.28	CAVE	The physical world	1) An underground hollow with access from the ground surface or from the sea, often found in limestone areas and on rocky coastlines.2) A natural cavity, chamber or recess which leads beneath the surface of the earth, generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery, its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus, caves worn by subterranean rivers may be different in character from, and of considerably greater extent than, a sea-cave eroded by marine waves.3) A natural underground open space, generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution.(Source: CED /  WHIT /  BJGEO)	Noun
849510	14.28	CEASE	Time	To have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical.	Verb
915513	3.814	CENTIPEDE	Animals	Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.	Noun
157395	17.37	CERTAIN	Cognition	Without any doubt or possibility of deviation.	Adjective
6665	9.18	CHAIN	Basic actions and technology	A series of interlocked rings or links forming a flexible length.	Noun
6162	7.43	CHAIR	The house	An item of furniture comprising a seat, legs, back, and sometimes arm rests, on which or in which one people can sit.	Noun
640095	3.913	CHAMELEON	Animals	(Chamaeleonidae)A squamate that belong to one of the best-known lizard families.	Noun
5547	12.93	CHANGE	Spatial relations	To make different.	Verb
535	1.89	CHARCOAL	The physical world	A porous solid product containing 85-98% carbon and produced by heating carbonaceous materials such as cellulose, wood or peat at 500-600 C° in the absence of air.(Source: MGH)	Noun
8184	11.89	CHEAP	Possession	Low in price.	Adjective
7034	4.208	CHEEK	The body	The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.	Noun
6435	5.88	CHEESE	Food and drink	A curdled or cultured milk product.	Noun
6532	4.4	CHEST	The body	The portion of the body from the base of the neck to the top of the abdomen; the thorax.	Noun
1510493	5.18	CHEW	Food and drink	To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.	Verb
5778	3.55	CHICKEN	Animals	A type of domesticated bird from the order of Galliformes which is often raised as a type of poultry (Gallus gallus domesticus).	Noun
1508307	19.24	CHIEFTAIN	Social and political relations	The leader/ruler of a tribe/clan	Noun
568	2.27	CHILD	Kinship	A person below the age of puberty.	Noun
7413	2.43	CHILD	Kinship	Biological offspring.	Noun
454216	2.6411	CHILD-IN-LAW	Kinship	The spouse of someone's child.	Noun
392603	5.821	CHILI PEPPER	Food and drink	Any fruit of a plant of the botanical genus Capsicum, noted for their spicy and burning flavour due to presence of capsaicin.	Noun
569	7.33	CHIMNEY	The house	A vertical structure of brick, masonry, or steel that carries smoke or steam away from a fire, engine, etc.	Noun
6306	4.209	CHIN	The body	The bottom of the face, below the mouth.	Noun
926391	9.84	CHISEL	Basic actions and technology	A tool with a cutting edge at the end.	Noun
1260643	5.19	CHOKE	Food and drink	To squeeze the neck in order to compress the carotide and/or trachea, possibly leading to unconsciousness or death.	Verb
7084	16.622	CHOOSE	Emotions and values	To make a choice from a number of alternatives.	Verb
1329931	9.222	CHOP	Basic actions and technology	To cut meat, vegetables or fruits in very small pieces.	Verb
587	22.131	CHURCH	Religion and belief	A building where Christian religious activities take place.	Noun
419443	23.59	CIGARETTE	Modern world	A product manufactured out of cured and finely cut leaves, which are rolled or stuffed into a paper-wrapped cylinder for smoking.	Noun
6135	12.82	CIRCLE	Spatial relations	A two-dimensional, geometric shape that is made up of every point on a plane which is equidistant from the centre. May be drawn with a pair of compasses.	Noun
1511141	22.5	CIRCUMCISION	Religion and belief	The act of excising or amputating the prepuce (the foreskin on penises, the clitoral hood on clitorises)	Noun
4418	19.37	CITIZEN	Social and political relations	A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government.	Noun
492550	8.83	CITRUS FRUIT	Agriculture and vegetation	The fruits of a plant in the citrus genus. They have a leathery rind surrounding segments filled with pulp vesicles.	Noun
1508311	19.23	CLAN	Social and political relations	Extended family	Noun
828398	4.345	CLAW	The body	A curved pointed appendage, found at the end of a toe or finger or, in arthropods, of the tarsus.	Noun
599	9.73	CLAY	Basic actions and technology	A loose, earthy, extremely fine-grained, natural sediment or soft rock composed primarily of clay-size or colloidal particles and characterized by high plasticity and by a considerable content of clay mineral and subordinate amounts of finely divided quartz, decomposed feldspar, carbonates, ferruginous matter, and other impurities; it forms a plastic, moldable mass when finely ground and mixed with water, retains its shape on drying, and becomes firm, rocklike and permanently hard on heating or firing.	Noun
335501	15.87	CLEAN	Sense perception	Not dirty.	Adjective
425679	17.34	CLEAR	Cognition	Free of ambiguity or doubt.	Adjective
5722	16.84	CLEVER	Emotions and values	Mentally agile.	Adjective
4261	1.222	CLIFF	The physical world	A steep coastal declivity which may or may not be precipitous, the slope angle being dependent partly on the jointing, bedding and hardness of the materials from which the cliff has been formed, and partly on the erosional processes at work. Where wave attack is dominant the cliff-foot will be rapidly eroded and cliff retreat will take place, especially in unconsolidated materials such as clays, sands, etc., frequently leaving behind an abrasion platform at the foot of the cliff.(Source: WHIT)	Noun
479387	10.472	CLIMB	Motion	To mount to a high or little accessible place using feet and hands.	Verb
1510537	6.41	CLOAK	Clothing and grooming	A long outer garment worn over the shoulders covering the back; a cape, often with a hood.	Noun
5790	14.53	CLOCK	Time	An instrument used to measure or keep track of time.	Noun
6620	6.21	CLOTH	Clothing and grooming	A woven fabric such as used in dressing, decorating, cleaning or other practical use.	Noun
8254	6.12	CLOTHES	Clothing and grooming	All coverings designed to be worn on a person's body.	Noun
623	1.73	CLOUD	The physical world	Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.	Noun
713958	20.22	CLUB	Warfare and hunting	A short heavy club with a rounded head used as a weapon.	Noun
161851	6.43	COAT	Clothing and grooming	An outer garment covering the upper torso and arms.	Noun
646	3.816	COCKROACH	Animals	The most primitive of the living winged insects.	Noun
419639	8.82	COCONUT	Agriculture and vegetation	The large hard-shelled oval nut with a fibrous husk of the cocos palm.	Noun
5670	23.91	COFFEE	Modern world	A beverage made by infusing the beans of the coffee plant in hot water.	Noun
8052	11.44	COIN	Possession	A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle.	Noun
5639	15.86	COLD	Sense perception	Having a low temperature.	Adjective
1178541	4.843	COLD	The body	A contagious, viral infectious disease of the upper respiratory system; common symptoms include cough, sore throat, runny nose, nasal congestion and sneezing.	Noun
971440	6.45	COLLAR	Clothing and grooming	The part of a garment that encircles the neck.	Noun
953048	4.302	COLLARBONE	The body	Bone linking the scapula and sternum.	Noun
661	15.61	COLOR	Sense perception	An attribute of things that results from the light they reflect, transmit, or emit in so far as this light causes a visual sensation that depends on its wavelengths.	Noun
